"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","DeAndre Hopkins (TEN)","96","174","1,378","14.4","72","24","13","0","0","0","1","15","261.8","17.5","96.6%"
"2","Antonio Brown (FA)","101","163","1,533","15.2","57","27","9","0","0","0","0","14","259.8","18.6","0.2%"
"3","Keenan Allen (LAC)","102","159","1,393","13.7","51","18","6","2","9","0","0","16","227.2","14.2","97.7%"
"4","Julio Jones (FA)","88","148","1,444","16.4","53","23","3","1","15","0","0","16","207.9","13.0","7.1%"
"5","Larry Fitzgerald (FA)","109","161","1,156","10.6","37","16","6","0","0","0","1","16","206.9","12.9","0.2%"
"6","Michael Thomas (NO)","104","149","1,245","12.0","43","22","5","0","0","0","0","16","206.5","12.9","84.2%"
"7","Jarvis Landry (FA)","112","161","987","8.8","49","6","9","1","-7","0","2","16","204.0","12.8","7.1%"
"8","Tyreek Hill (MIA)","75","105","1,183","15.8","79","15","7","17","59","0","0","15","201.7","13.4","100.0%"
"9","Marvin Jones Jr. (DET)","61","107","1,101","18.0","58","20","9","0","0","0","0","16","194.6","12.2","2.9%"
"10","Adam Thielen (CAR)","91","142","1,276","14.0","65","20","4","1","11","0","2","16","194.2","12.1","55.7%"
"11","A.J. Green (FA)","75","143","1,078","14.4","77","9","8","0","0","0","2","16","189.3","11.8","1.0%"
"12","Brandin Cooks (DAL)","65","114","1,082","16.6","64","18","7","9","40","0","0","16","188.7","11.8","85.3%"
"13","Doug Baldwin (FA)","75","116","991","13.2","54","18","8","2","-8","0","0","16","185.8","11.6","0.0%"
"14","Davante Adams (LV)","74","117","885","12.0","55","8","10","0","0","0","0","14","185.5","13.3","100.0%"
"15","Golden Tate (FA)","92","120","1,003","10.9","71","10","5","5","22","0","1","16","178.5","11.2","0.0%"
"16","Robbie Chosen (MIA)","63","114","941","14.9","69","17","7","3","9","0","0","16","168.5","10.5","0.2%"
"17","Mike Evans (TB)","71","136","1,001","14.1","42","9","5","0","0","0","0","15","167.6","11.2","93.5%"
"18","Alshon Jeffery (FA)","57","120","789","13.8","53","8","9","0","0","0","0","16","167.4","10.5","0.0%"
"19","Stefon Diggs (BUF)","64","95","849","13.3","59","14","8","8","13","0","0","14","166.2","11.9","100.0%"
"20","Demaryius Thomas (FA)","83","140","949","11.4","40","15","5","0","0","0","1","16","164.4","10.3","0.1%"
"21","Devin Funchess (FA)","63","111","840","13.3","44","15","8","0","0","0","0","16","163.5","10.2","0.0%"
"22","JuJu Smith-Schuster (NE)","58","79","917","15.8","97","12","7","0","0","0","0","14","162.7","11.6","75.7%"
"23","Nelson Agholor (BAL)","62","95","768","12.4","72","9","8","1","7","0","0","16","156.5","9.8","0.2%"
"24","Dez Bryant (FA)","69","132","838","12.1","50","8","6","1","-4","0","1","16","151.9","9.5","2.6%"
"25","T.Y. Hilton (FA)","57","109","966","16.9","80","14","4","0","0","0","1","16","147.1","9.2","3.0%"
"26","Cooper Kupp (LAR)","62","94","869","14.0","64","12","5","0","0","0","1","15","145.9","9.7","99.9%"
"27","Kenny Stills (FA)","58","105","847","14.6","61","14","6","0","0","0","2","16","145.7","9.1","0.0%"
"28","Jermaine Kearse (FA)","65","102","810","12.5","51","9","5","0","0","0","0","16","143.5","9.0","0.0%"
"29","Michael Crabtree (FA)","58","101","618","10.7","41","8","8","0","0","0","0","14","142.8","10.2","0.0%"
"30","Mohamed Sanu Sr. (FA)","67","96","703","10.5","25","10","5","4","10","0","0","15","140.8","9.4","0.0%"
"31","Marquise Goodwin (CLE)","56","105","962","17.2","83","13","2","4","44","0","0","16","140.6","8.8","0.1%"
"32","Robert Woods (HOU)","56","85","781","13.9","94","12","5","2","12","0","1","12","135.3","11.3","3.9%"
"33","Amari Cooper (CLE)","48","96","680","14.2","87","9","7","1","4","0","0","14","134.4","9.6","98.4%"
"34","Ted Ginn Jr. (FA)","53","70","787","14.8","54","15","4","10","39","0","0","15","133.1","8.9","0.0%"
"35","Rishard Matthews (FA)","53","87","795","15.0","75","13","4","1","-3","0","0","14","129.7","9.3","0.0%"
"36","Paul Richardson Jr. (FA)","44","80","703","16.0","61","13","6","0","0","0","0","16","128.3","8.0","0.0%"
"37","Jamison Crowder (NYG)","66","103","789","12.0","41","12","3","7","34","0","3","15","127.3","8.5","0.1%"
"38","Sammy Watkins (FA)","39","70","593","15.2","67","9","8","0","0","0","0","15","126.8","8.5","3.0%"
"39","Randall Cobb (NYJ)","66","92","653","9.9","46","7","4","9","17","0","0","15","126.4","8.4","0.8%"
"40","Mike Wallace (FA)","52","92","748","14.4","66","11","4","1","4","0","0","15","125.2","8.3","0.0%"
"41","Marqise Lee (FA)","56","96","702","12.5","45","6","3","1","17","0","0","14","119.9","8.6","0.0%"
"42","Tyrell Williams (FA)","43","69","728","16.9","75","12","4","0","0","0","1","16","116.3","7.3","0.0%"
"43","Sterling Shepard (NYG)","59","84","731","12.4","77","7","2","4","4","0","0","11","115.0","10.5","0.9%"
"44","DeSean Jackson (FA)","50","90","668","13.4","41","10","3","3","38","0","0","14","113.6","8.1","1.0%"
"45","Keelan Cole Sr. (LV)","42","83","748","17.8","75","11","3","0","0","0","1","16","111.8","7.0","0.0%"
"46","Kelvin Benjamin (FA)","48","78","692","14.4","43","10","3","0","0","0","0","14","111.2","7.9","0.1%"
"47","Jordy Nelson (FA)","53","88","482","9.1","58","4","6","0","0","0","0","15","110.7","7.4","0.1%"
"48","Danny Amendola (FA)","61","86","659","10.8","27","7","2","0","0","0","0","15","108.4","7.2","0.0%"
"49","Martavis Bryant (FA)","50","84","603","12.1","51","7","3","6","22","0","0","15","107.5","7.2","0.0%"
"50","Travis Benjamin (FA)","34","65","567","16.7","62","10","4","13","96","0","0","16","107.3","6.7","0.0%"
"51","Ryan Grant (FA)","45","65","573","12.7","40","10","4","0","0","0","0","16","103.8","6.5","0.0%"
"52","Josh Doctson (FA)","35","78","502","14.3","52","6","6","1","-14","0","0","16","102.3","6.4","0.0%"
"53","DeVante Parker (NE)","57","96","670","11.8","36","9","1","0","0","0","0","13","101.5","7.8","3.1%"
"54","William Fuller V (FA)","28","50","423","15.1","59","7","7","2","9","0","0","10","99.2","9.9","0.0%"
"55","Brandon LaFell (FA)","52","89","548","10.5","45","6","3","0","0","0","0","16","98.8","6.2","0.0%"
"56","Adam Humphries (HOU)","61","83","631","10.3","43","5","1","1","6","0","1","16","98.2","6.1","0.0%"
"57","Kendall Wright (FA)","59","91","614","10.4","22","1","1","0","0","0","0","16","96.9","6.1","0.0%"
"58","Tyler Lockett (SEA)","45","71","555","12.3","74","5","2","10","58","0","0","16","95.8","6.0","93.4%"
"59","Albert Wilson (FA)","42","62","554","13.2","63","4","3","3","6","0","0","13","95.0","7.3","0.0%"
"60","Chris Hogan (FA)","34","59","439","12.9","47","6","5","3","17","0","0","9","92.6","10.3","0.0%"
"61","Emmanuel Sanders (FA)","47","92","555","11.8","38","11","2","0","0","0","0","12","91.0","7.6","0.0%"
"62","Eric Decker (FA)","54","83","563","10.4","29","5","1","0","0","0","0","16","89.3","5.6","0.6%"
"63","Jaron Brown (FA)","31","69","477","15.4","52","12","4","0","0","0","0","16","87.2","5.5","0.0%"
"64","Deonte Thompson (FA)","38","69","555","14.6","46","8","2","2","-5","0","0","16","86.0","5.4","0.0%"
"65","Terrance Williams (FA)","53","78","568","10.7","56","6","0","2","15","0","0","16","84.8","5.3","0.0%"
"66","Jeremy Maclin (FA)","40","72","440","11.0","48","3","3","0","0","0","0","12","82.0","6.8","0.0%"
"67","Kenny Golladay (FA)","28","48","477","17.0","54","8","3","1","9","0","0","11","80.6","7.3","2.1%"
"68","Allen Hurns (FA)","39","56","484","12.4","50","4","2","0","0","0","0","10","79.9","8.0","0.0%"
"69","J.J. Nelson (FA)","29","61","508","17.5","46","6","2","3","37","0","1","16","79.0","4.9","0.0%"
